Title,Artist
Surfin’,The Beach Boys
Surfin’ USA,The Beach Boys
Fun, Fun, Fun,The Beach Boys
I Get Around,The Beach Boys
California Girls,The Beach Boys
Help Me, Rhonda,The Beach Boys
Please Let Me Wonder,The Beach Boys
Wouldn’t It Be Nice,The Beach Boys
Don’t Talk (Put Your Head on My Shoulder),The Beach Boys
God Only Knows,The Beach Boys
Sloop John B,The Beach Boys
I Know There’s an Answer,The Beach Boys
Caroline, No,The Beach Boys
Good Vibrations,The Beach Boys
Love Me Do,The Beatles
Please Please Me,The Beatles
From Me To You,The Beatles
She Loves You,The Beatles
I Wanna Hold Your Hand,The Beatles
Drive My Car,The Beatles
Norwegian Wood,The Beatles
You Won’t See Me,The Beatles
In My Life,The Beatles
What Goes On,The Beatles
Taxman,The Beatles
Love You To,The Beatles
She Said She Said,The Beatles
For No One,The Beatles
Tomorrow Never Knows,The Beatles
Paint it Black,The Rolling Stones
Sympathy for the Devil,The Rolling Stones
Dear Doctor,The Rolling Stones
Prodigal Son,The Rolling Stones
Gimme Shelter,The Rolling Stones
Let it Bleed,The Rolling Stones
You Can’t Always Get What You Want,The Rolling Stones
Brown Sugar,The Rolling Stones
Wild Horses,The Rolling Stones
Can’t You Hear Me Knocking,The Rolling Stones
Dead Flowers,The Rolling Stones
Rocks Off,The Rolling Stones
Tumbling Dice,The Rolling Stones
Sweet Virginia,The Rolling Stones
Hard Times in New York Town,Bob Dylan
Blowin’ in the Wind,Bob Dylan
Girl From the North Country,Bob Dylan
Don’t Think Twice It’s All Right,Bob Dylan
Ballad of Hollis Brown,Bob Dylan
One Too Many Mornings,Bob Dylan
Boots of Spanish Leather,Bob Dylan
Subterranean Homesick Blues,Bob Dylan
Bob Dylan’s 115th Dream,Bob Dylan
It’s Alright, Ma (I’m Only Bleeding),Bob Dylan
Like A Rolling Stone,Bob Dylan
Queen Jane Approximately,Bob Dylan
Tombstone Blues,Bob Dylan
Visions of Johanna,Bob Dylan
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan
Temporary Like Achilles,Bob Dylan
Everybody’s Gotta Pay Some Dues,The Miracles
Beechwood 4-5789,The Marvelettes
Money (That’s What I Want),Barrett Strong
Buttered Popcorn,The Supremes
You Beat Me to the Punch,Mary Wells
You’ve Really Got a Hold on Me,The Miracles
Stubborn Kind of Fellow,Marvin Gaye
(Love Is Like a) Heat Wave,Martha Reeves & the Vandellas
You Can’t Hurry Love,The Supremes
My Guy,Mary Wells
My Girl,The Temptations
Wild One,Martha Reeves & the Vandellas
Dancing in the Street,Martha Reeves & the Vandellas
Ooo Baby Baby,Smokey Robinson & the Miracles
Stop! In the Name of Love,The Supremes
The Tracks of My Tears,Smokey Robinson & the Miracles
You Keep Me Hangin’ On,The Supremes
I Heard it Through the Grapevine,Marvin Gaye
Ain’t Nothing Like the Real Thing,Marvin Gaye & Tammi Terrell
Oh How I’d Miss You,Marvin Gaye & Tammi Terrell
Ain’t No Mountain High Enough,Marvin Gaye & Tammi Terrell
To Know Him is To Love Him,The Teddy Bears
On Broadway,The Drifters
Uptown,The Crystals
He Hit Me (It Felt Like a Kiss),The Crystals
He’s a Rebel,The Crystals
Zip-A-Dee-Doo-Dah,Bob B. Soxx & The Blue Jeans
Then He Kissed Me,The Crystals
Be My Baby,The Ronettes
Da Doo Ron Ron,The Crystals
Oh Yeah, Maybe Baby,The Crystals
You’ve Lost That Lovin’ Feelin’,The Righteous Brothers
Unchained Melody,The Righteous Brothers
Just Once in My Life,The Righteous Brothers
River Deep – Mountain High,Ike & Tina Turner
Walkin’ After Midnight,Patsy Cline
I Fall to Pieces,Patsy Cline
Crazy,Patsy Cline
Heart in Hand,Brenda Lee
I’m Sorry,Brenda Lee
The End of the World,Brenda Lee
Success,Loretta Lynn
This Haunted House,Loretta Lynn
Wine, Woman, Song,Loretta Lynn
Fist City,Loretta Lynn
Please Help Me I’m Falling,Hank Locklin
I Forgot More Than You’ll Ever Know,Skeeter Davis
Four Walls,Jim Reeves
He’ll Have to Go,Jim Reeves
Welcome to My World,Jim Reeves
Heartbreak Hotel,Elvis Presley
Crying,Roy Orbison
Love Hurts,Roy Orbison
Running Scared,Roy Orbison
Pretty Woman,Roy Orbison
It’s Over,Roy Orbison
Don’t Touch Me,Jeannie Seely
Dumb Blonde,Dolly Parton
Something Fishy,Dolly Parton
The Strange Death of John Doe,The Almanac Singers
Washington Breakdown,The Almanac Singers
On Top of Old Smoky,The Weavers
Goodnight Irene,The Weavers
Kisses Sweeter Than Wine,The Weavers
Tom Dooley,The Kingston Trio
Sloop John B,The Kingston Trio
All My Sorrows,The Kingston Trio
Silver Dagger,Joan Baez
Mary Hamilton,Joan Baez
Babe, I’m Going to Leave You,Joan Baez
Geordie,Joan Baez
Maybellene,Chuck Berry
Wee Wee Hours,Chuck Berry
Roll Over Beethoven,Chuck Berry
Too Much Monkey Business,Chuck Berry
Brown Eyed Handsome Man,Chuck Berry
School Days,Chuck Berry
Rock and Roll Music,Chuck Berry
Sweet Little Sixteen,Chuck Berry
Johnny B. Goode,Chuck Berry
Back in the USA,Chuck Berry
Nadine,Chuck Berry
No Particular Place to Go,Chuck Berry
You Never Can Tell,Chuck Berry
Promised Land,Chuck Berry
Tutti Fruity,Little Richard
Long Tall Sally,Little Richard
Slippin’ and Slidin’,Little Richard
Rip it Up,Little Richard
Ready Teddy,Little Richard
Lucille,Little Richard
Send Me Some Loving,Little Richard
Jenny, Jenny,Little Richard
Keep A-Knocking,Little Richard
Good Golly Miss Molly,Little Richard
That’s All Right,Elvis Presley
Blue Moon of Kentucky,Elvis Presley
I Forgot to Remember to Forget,Elvis Presley
Mystery Train,Elvis Presley
Don’t Be Cruel,Elvis Presley
Hound Dog,Elvis Presley
Blue Suede Shoes,Elvis Presley
Love Me Tender,Elvis Presley
Too Much,Elvis Presley
All Shook Up,Elvis Presley
(Let me Be Your) Teddy Bear,Elvis Presley
Don’t,Elvis Presley
I Beg of You,Elvis Presley
Hard Headed Woman,Elvis Presley
Love Me,Buddy Holly
That’ll Be The Day,Buddy Holly
Peggy Sue,Buddy Holly
Everyday,Buddy Holly
Oh, Boy!,Buddy Holly
Not Fade Away,Buddy Holly
Maybe Baby,Buddy Holly
Rave On,Buddy Holly
Think It Over,Buddy Holly
It Doesn’t Matter Any More,Buddy Holly
Lunar Rhapsody,Les Baxter
Sophisticated Savage,Les Baxter
Simba,Les Baxter
Harem Silks from Bombay,Les Baxter
Taboo,Les Baxter
Deep Night,Les Baxter
Quiet Village, Martin Denny
My Isle of Golden Dreams, Martin Denny
Swamp Fire, Martin Denny
Voodoo Dreams, Martin Denny
Burma Train, Martin Denny
Buddhist Bells, Martin Denny
Granada, Esquivel
Boulevard of Broken Dreams, Esquivel
Whatchamacallit, Esquivel
Let's Dance, Esquivel
Macarena, Esquivel
Estrellita, Esquivel
Jungle Drums, Esquivel
Mucha Muchacha, Esquivel
Outer Nothingness, Sun Ra
Plutonian Nights, Sun Ra
Star Time, Sun Ra
Africa, Sun Ra
Planet Earth, Sun Ra
Overtones of China, Sun Ra